INFO 2026-09-04 15:05:14,083 autoreload Watching for file changes with StatReloader
INFO 2026-09-04 15:05:58,435 basehttp "OPTIONS /api/v1/users/ HTTP/1.1" 200 0
INFO 2026-09-04 15:06:14,321 basehttp "OPTIONS /api/v1/users/ HTTP/1.1" 200 0
INFO 2026-09-04 15:22:32,414 basehttp "GET /healthz/ HTTP/1.1" 200 34
INFO 2026-09-04 20:58:39,529 basehttp "OPTIONS /api/v1/auth/me/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:39,534 basehttp "OPTIONS /api/v1/auth/me/ HTTP/1.1" 200 0
WARNING 2026-09-04 20:58:40,672 log Unauthorized: /api/v1/auth/me/
WARNING 2026-09-04 20:58:40,675 basehttp "GET /api/v1/auth/me/ HTTP/1.1" 401 172
WARNING 2026-09-04 20:58:40,687 log Unauthorized: /api/v1/auth/me/
INFO 2026-09-04 20:58:40,692 basehttp "OPTIONS /api/v1/auth/token/refresh/ HTTP/1.1" 200 0
WARNING 2026-09-04 20:58:40,694 basehttp "GET /api/v1/auth/me/ HTTP/1.1" 401 172
INFO 2026-09-04 20:58:40,785 basehttp "POST /api/v1/auth/token/refresh/ HTTP/1.1" 200 582
INFO 2026-09-04 20:58:40,838 basehttp "GET /api/v1/auth/me/ HTTP/1.1" 200 252
INFO 2026-09-04 20:58:40,861 basehttp "GET /api/v1/auth/me/ HTTP/1.1" 200 252
INFO 2026-09-04 20:58:41,140 basehttp "OPTIONS /api/v1/analytics/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,142 basehttp "OPTIONS /api/v1/polling-units/map/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,144 basehttp "OPTIONS /api/v1/dashboard/summary/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,159 basehttp "OPTIONS /api/v1/notifications/?unread=true&page_size=1 HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,161 basehttp "OPTIONS /api/v1/incidents/?page_size=5 HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,162 basehttp "OPTIONS /api/v1/dashboard/summary/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,175 basehttp "OPTIONS /api/v1/polling-units/map/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,177 basehttp "OPTIONS /api/v1/analytics/ HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,179 basehttp "OPTIONS /api/v1/incidents/?page_size=5 HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,241 basehttp "OPTIONS /api/v1/notifications/?unread=true&page_size=1 HTTP/1.1" 200 0
INFO 2026-09-04 20:58:41,324 basehttp "GET /api/v1/polling-units/map/ HTTP/1.1" 200 2
INFO 2026-09-04 20:58:41,381 basehttp "GET /api/v1/dashboard/summary/ HTTP/1.1" 200 229
INFO 2026-09-04 20:58:41,382 basehttp "GET /api/v1/incidents/?page_size=5 HTTP/1.1" 200 52
INFO 2026-09-04 20:58:41,438 basehttp "GET /api/v1/polling-units/map/ HTTP/1.1" 200 2
INFO 2026-09-04 20:58:41,453 basehttp "GET /api/v1/notifications/?unread=true&page_size=1 HTTP/1.1" 200 52
INFO 2026-09-04 20:58:41,520 basehttp "GET /api/v1/incidents/?page_size=5 HTTP/1.1" 200 52
